"Week","SKU_ID","Quintile","RawVolume","DetectCancellations","RemoveBuildToOrder","TruncateEndOfLife"
"2013-06-08","SKU_1",5,0.002,0.002,0.002,0.002
"2013-06-15","SKU_1",5,0.009,0.009,0.009,0.01
"2013-06-22","SKU_1",5,0.0045,0.0045,0.0045,0.005
"2013-06-29","SKU_1",5,0.017,0.0055,0.0055,0.006
"2013-07-06","SKU_1",5,-0.0065,0.0055,0.0055,0.006
"2013-07-13","SKU_1",5,0.0125,0.0125,0.0125,0.014
"2013-07-20","SKU_1",5,0.008,0.008,0.008,0.009
"2013-07-27","SKU_1",5,0.01,0.01,0.01,0.0115
"2013-08-03","SKU_1",5,0.0155,0.0155,0.0155,0.0175
"2013-08-10","SKU_1",5,0.0195,0.0195,0.0195,0.022
"2013-08-17","SKU_1",5,0.014,0.014,0.014,0.016
"2013-08-24","SKU_1",5,0.015,0.015,0.015,0.017
"2013-08-31","SKU_1",5,0.017,0.017,0.017,0.019
"2013-09-07","SKU_1",5,0.0245,0.0245,0.0245,0.0275
"2013-09-14","SKU_1",5,0.017,0.017,0.017,0.0195
"2013-09-21","SKU_1",5,0.014,0.014,0.014,0.0155
"2013-09-28","SKU_1",5,0.015,0.015,0.015,0.0165
"2013-10-05","SKU_1",5,0.0205,0.0205,0.0205,0.023
"2013-10-12","SKU_1",5,0.018,0.018,0.018,0.02
"2013-10-19","SKU_1",5,0.019,0.019,0.019,0.0215
"2013-10-26","SKU_1",5,0.0105,0.0105,0.0105,0.012
"2013-11-02","SKU_1",5,0.0075,0.0075,0.0075,0.0085
"2013-11-09","SKU_1",5,0.012,0.012,0.012,0.0135
"2013-11-16","SKU_1",5,0.009,0.009,0.009,0.01
"2013-11-23","SKU_1",5,0.0055,0.0055,0.0055,0.006
"2013-11-30","SKU_1",5,0.012,0.012,0.012,0.0135
"2013-12-07","SKU_1",5,0.0105,0.0105,0.0105,0.012
"2013-12-14","SKU_1",5,0.012,0.012,0.012,0.0135
"2013-12-21","SKU_1",5,0.0095,0.0095,0.0095,0.0105
"2013-12-28","SKU_1",5,0.003,0.003,0.003,0.003
"2014-01-04","SKU_1",5,0.0105,0.0105,0.0105,0.0115
"2014-01-11","SKU_1",5,0.0145,0.0145,0.0145,0.0165
"2014-01-18","SKU_1",5,0.01,0.01,0.01,0.011
"2014-01-25","SKU_1",5,0.0185,0.0185,0.0185,0.0205
